what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1494434434451
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494434466636
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494434485735
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1494434490659
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1494434497587
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494434506372
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494434506656
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1494434509770
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494434511003
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494434513160
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494434521195
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494434523097
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494434527110
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494434528986
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494434540120
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494434541247
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1494434553531
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494434554047
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494434555358
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1494434558036
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494434571934
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494434574945
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494434577292
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494434578564
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494434589528
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494434589781
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1494434590128
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1494434590181
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1494434590496
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1494434590496
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494434592451
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494434712074
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494434712544
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494434722151
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1494434725631
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1494434794283
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494434805809
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494434810180
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1494434810218
