what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1494439874000
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1494439874010
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1494439874014
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1494439874029
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1494439874040
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1494439874043
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1494439874047
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1494439874053
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1494439874060
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1494439874075
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1494439874081
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1494439874088
started,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1494439874093
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1494439874096
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1494439874113
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1494439874128
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1494439874133
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1494439874141
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1494439874145
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1494439874151
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1494439874162
os,sysinfo,,,"win32",1494439874188
arch,sysinfo,,,"x86",1494439874188
ws,sysinfo,,,"win32",1494439874188
locale,sysinfo,,,"en_US",1494439874188
processors,sysinfo,,,"4",1494439874188
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1494439874188
java.runtime.version,sysinfo,,,"1.8.0_65-b17",1494439874188
java.specification.name,sysinfo,,,"Java Platform API Specification",1494439874188
java.specification.vendor,sysinfo,,,"Oracle Corporation",1494439874188
java.specification.version,sysinfo,,,"1.8",1494439874188
java.vendor,sysinfo,,,"Oracle Corporation",1494439874188
java.version,sysinfo,,,"1.8.0_65",1494439874188
java.vm.info,sysinfo,,,"mixed mode",1494439874188
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1494439874188
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1494439874188
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1494439874188
java.vm.specification.version,sysinfo,,,"1.8",1494439874188
java.vm.vendor,sysinfo,,,"Oracle Corporation",1494439874188
java.vm.version,sysinfo,,,"25.65-b01",1494439874188
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494439882850
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494439883050
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494439888928
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494439899119
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1494439899162
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1494439899604
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1494439899618
started,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1494439899621
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1494439899670
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1494439899728
started,bundle,org.eclipse.jst.jsf.core,1.3.105.v201108261005,"org.eclipse.jst.jsf.core",1494439899746
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494439899760
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1494439899912
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1494439900124
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1494439900135
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1494439900154
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494439900562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494439900618
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494439901622
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1494439901963
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1494439901966
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1494439902051
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1494439902107
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1494439902257
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1494439902553
started,bundle,org.eclipse.wst.html.core,1.1.502.v201202091936,"org.eclipse.wst.html.core",1494439903811
started,bundle,org.eclipse.wst.css.core,1.1.501.v201111292150,"org.eclipse.wst.css.core",1494439904199
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1494439905659
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1494439905787
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.101.v201201031437,"org.eclipse.jst.ws.jaxws.dom.integration",1494439905835
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1494439905897
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.505.v201202020200,"org.eclipse.jst.j2ee.ejb",1494439905933
started,bundle,org.eclipse.jst.j2ee.jca,1.1.501.v201111030500,"org.eclipse.jst.j2ee.jca",1494439905948
started,bundle,org.eclipse.jst.jee.ejb,1.0.301.v201007070821,"org.eclipse.jst.jee.ejb",1494439905973
started,bundle,org.eclipse.jst.jee.web,1.0.301.v201007070907,"org.eclipse.jst.jee.web",1494439905982
started,bundle,org.eclipse.xsd,2.7.1.v20120130-0943,"org.eclipse.xsd",1494439906160
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1494439915016
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1494439915023
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1494439915028
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494439921256
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1494439925294
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494439963850
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494439966011
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494439966446
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494439967228
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494440097903
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1494440101175
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494440127028
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494440127244
error,log,,,"Could not retrieve interfaces",1494440127630
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494440170976
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1494440172757
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494440187300
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494440384242
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494440393387
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1494440408481
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1494440408621
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1494440409499
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494440418848
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494440427759
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1494440441144
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1494440446286
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1494440454355
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494440468293
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494440475000
